frac,inteiras,filename,nodes,lb,ub,root,time,nodes,heuristica,valor
"rand-20-10-10-1000-1,dssp",1,0,1E+020,0,"180,029323",2,747,624,-123,
"rand-20-10-10-1000-2,dssp",1,0,1E+020,0,"180,013918",2,745,616,-129,
"rand-20-10-10-250-1,dssp",1,0,1E+020,0,"180,001887",2,184,151,-33,
"rand-20-10-10-250-2,dssp",1,0,1E+020,0,"180,00183",2,184,139,-45,
"rand-20-10-10-500-1,dssp",1,0,1E+020,0,"180,007632",2,371,304,-67,
"rand-20-10-10-500-2,dssp",1,0,1E+020,0,"180,001004",2,371,290,-81,"-65,875"
"rand-20-10-10-750-1,dssp",1,0,1E+020,0,"180,005632",2,559,1E+020,-19,"42,2219898699"
"rand-20-10-10-750-2,dssp",1,0,1E+020,0,"180,016147",2,556,1E+020,-30,
"rand-20-15-15-1000-1,dssp",1,0,1E+020,0,"180,005615",2,746,1E+020,1E+020,
"rand-20-15-15-1000-2,dssp",1,0,1E+020,0,"180,040473",2,745,1E+020,1E+020,
"rand-20-15-15-250-1,dssp",1,0,1E+020,0,"180,002036",2,185,166,-19,
"rand-20-15-15-250-2,dssp",1,0,1E+020,0,"180,002619",2,185,155,-30,
"rand-20-15-15-500-1,dssp",1,0,1E+020,0,"180,009832",2,371,345,-26,
"rand-20-15-15-500-2,dssp",1,0,1E+020,0,"180,011469",2,373,342,-31,
"rand-20-15-15-750-1,dssp",1,0,1E+020,0,"180,012169",2,557,1E+020,1E+020,
"rand-20-15-15-750-2,dssp",1,0,1E+020,0,"180,015792",2,559,1E+020,,
"rand-20-20-20-1000-1,dssp",1,0,1E+020,0,"180,010506",2,748,1E+020,,
"rand-20-20-20-1000-2,dssp",1,0,1E+020,0,"180,060156",2,747,1E+020,,
"rand-20-20-20-250-1,dssp",1,0,1E+020,0,"180,002186",2,185,1E+020,,
"rand-20-20-20-250-2,dssp",1,0,1E+020,0,"180,002233",2,185,1E+020,,
"rand-20-20-20-500-1,dssp",1,0,1E+020,0,"180,003454",2,372,1E+020,,
"rand-20-20-20-500-2,dssp",1,0,1E+020,0,"180,008675",2,371,1E+020,,
"rand-20-20-20-750-1,dssp",1,0,1E+020,0,"180,015399",2,558,1E+020,,
"rand-20-20-20-750-2,dssp",1,0,1E+020,0,"180,012984",2,559,1E+020,,
"rand-20-25-25-1000-1,dssp",1,0,1E+020,0,"180,029533",2,746,1E+020,,
"rand-20-25-25-1000-2,dssp",1,0,1E+020,0,"180,009197",2,746,1E+020,,
"rand-20-25-25-250-1,dssp",1,0,1E+020,0,"180,002343",2,184,1E+020,,
"rand-20-25-25-250-2,dssp",1,0,1E+020,0,"180,002633",2,186,1E+020,,
"rand-20-25-25-500-1,dssp",1,0,1E+020,0,"180,012208",2,374,1E+020,,
"rand-20-25-25-500-2,dssp",1,0,1E+020,0,"180,003611",2,372,1E+020,,
"rand-20-25-25-750-1,dssp",1,0,1E+020,0,"180,025589",2,559,1E+020,,
"rand-20-25-25-750-2,dssp",1,0,1E+020,0,"180,010689",2,558,1E+020,,
"rand-20-5-5-1000-1,dssp",1,0,1E+020,0,"180,004371",2,745,524,,
"rand-20-5-5-1000-2,dssp",1,0,1E+020,0,"180,00651",2,745,499,,
"rand-20-5-5-250-1,dssp",1,0,1E+020,0,"180,001049",2,183,111,,
"rand-20-5-5-250-2,dssp",1,0,1E+020,0,"180,00025",2,185,75,,
"rand-20-5-5-500-1,dssp",1,0,1E+020,0,"180,001903",2,371,249,,
"rand-20-5-5-500-2,dssp",1,0,1E+020,0,"180,001752",2,371,207,,
"rand-20-5-5-750-1,dssp",1,0,1E+020,0,"180,002034",2,557,1E+020,,
"rand-20-5-5-750-2,dssp",1,0,1E+020,0,"180,005666",2,558,1E+020,,
"rand-4-10-10-1000-1,dssp",1,0,1E+020,0,"180,008994",2,574,461,,
"rand-4-10-10-1000-2,dssp",1,0,1E+020,0,"180,023875",2,572,454,,
"rand-4-10-10-250-1,dssp",1,0,1E+020,0,"180,001565",2,144,112,,
"rand-4-10-10-250-2,dssp",1,0,1E+020,0,"180,001189",2,144,108,,
"rand-4-10-10-500-1,dssp",1,0,1E+020,0,"180,003064",2,283,226,,
"rand-4-10-10-500-2,dssp",1,0,1E+020,0,"180,008154",2,288,225,,
"rand-4-10-10-750-1,dssp",1,0,1E+020,0,"180,013911",2,429,1E+020,,
"rand-4-10-10-750-2,dssp",1,0,1E+020,0,"180,009464",2,432,1E+020,,
"rand-4-15-15-1000-1,dssp",1,0,1E+020,0,"180,024452",2,578,1E+020,,
"rand-4-15-15-1000-2,dssp",1,0,1E+020,0,"180,032176",2,571,1E+020,,
"rand-4-15-15-250-1,dssp",1,0,1E+020,0,"180,002219",2,147,121,,
"rand-4-15-15-250-2,dssp",1,0,1E+020,0,"180,002026",2,147,121,,
"rand-4-15-15-500-1,dssp",1,0,1E+020,0,"180,005624",2,286,243,,
"rand-4-15-15-500-2,dssp",1,0,1E+020,0,"180,012174",2,285,245,,
"rand-4-15-15-750-1,dssp",1,0,1E+020,0,"180,015836",2,430,1E+020,,
"rand-4-15-15-750-2,dssp",1,0,1E+020,0,"180,00337",2,432,1E+020,,
"rand-4-20-20-1000-1,dssp",1,0,1E+020,0,"180,03813",2,574,1E+020,,
"rand-4-20-20-1000-2,dssp",1,0,1E+020,0,"180,051945",2,579,1E+020,,
"rand-4-20-20-250-1,dssp",1,0,1E+020,0,"180,000724",2,143,127,,
"rand-4-20-20-250-2,dssp",1,0,1E+020,0,"180,004173",2,144,126,,
"rand-4-20-20-500-1,dssp",1,0,1E+020,0,"180,00715",2,285,1E+020,,
"rand-4-20-20-500-2,dssp",1,0,1E+020,0,"180,00235",2,286,1E+020,,
"rand-4-20-20-750-1,dssp",1,0,1E+020,0,"180,021277",2,429,1E+020,,
"rand-4-20-20-750-2,dssp",1,0,1E+020,0,"180,013278",2,434,1E+020,,
"rand-4-25-25-1000-1,dssp",1,0,1E+020,0,"180,040386",2,582,1E+020,,
"rand-4-25-25-1000-2,dssp",1,0,1E+020,0,"180,037205",2,578,1E+020,,
"rand-4-25-25-250-1,dssp",1,0,1E+020,0,"180,001426",2,146,1E+020,,
"rand-4-25-25-250-2,dssp",1,0,1E+020,0,"180,004809",2,148,1E+020,,
"rand-4-25-25-500-1,dssp",1,0,1E+020,0,"180,014021",2,292,1E+020,,
"rand-4-25-25-500-2,dssp",1,0,1E+020,0,"180,017978",2,289,1E+020,,
"rand-4-25-25-750-1,dssp",1,0,1E+020,0,"180,038714",2,435,1E+020,,
"rand-4-25-25-750-2,dssp",1,0,1E+020,0,"180,025391",2,437,1E+020,,
"rand-4-5-5-1000-1,dssp",1,0,1E+020,0,"180,014786",2,580,391,,
"rand-4-5-5-1000-2,dssp",1,0,1E+020,0,"180,008467",2,585,381,,
"rand-4-5-5-250-1,dssp",1,0,1E+020,0,"180,001098",2,141,91,,
"rand-4-5-5-250-2,dssp",1,0,1E+020,0,"180,000216",2,142,69,,
"rand-4-5-5-500-1,dssp",1,0,1E+020,0,"180,001395",2,289,192,,
"rand-4-5-5-500-2,dssp",1,0,1E+020,0,"180,004147",2,289,165,,
"rand-4-5-5-750-1,dssp",1,0,1E+020,0,"180,003398",2,428,294,,
"rand-4-5-5-750-2,dssp",1,0,1E+020,0,"180,00239",2,427,278,,
