frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor,,
"rand-20-100-100-10-1,dssp",1,-9,-9,-9,"0,007135",10,NONE,NONE,,FALSO,0,0
"rand-20-100-100-10-2,dssp",1,-10,-10,-10,"0,004245",10,NONE,NONE,,,0,
"rand-20-100-100-15-1,dssp",1,-14,-14,-14,"0,009549",10,NONE,NONE,,,0,
"rand-20-100-100-15-2,dssp",1,-14,-14,-14,"0,005438",10,NONE,NONE,,,0,
"rand-20-100-100-20-1,dssp",1,-19,-19,-19,"0,013161",10,NONE,NONE,,,0,
"rand-20-100-100-20-2,dssp",1,-19,-19,-19,"0,006667",10,NONE,NONE,,,0,
"rand-20-100-100-25-1,dssp",1,-24,-24,-24,"0,014286",10,NONE,NONE,,,0,
"rand-20-100-100-25-2,dssp",1,-24,-24,-24,"0,007088",10,NONE,NONE,,,0,
"rand-20-100-100-5-1,dssp",1,-4,-4,-4,"0,004678",10,NONE,NONE,,,0,
"rand-20-100-100-5-2,dssp",1,-5,-5,-5,"0,003415",10,NONE,NONE,,,0,
"rand-20-150-150-10-1,dssp",1,-9,-9,-9,"0,018835",10,NONE,NONE,,,0,
"rand-20-150-150-10-2,dssp",1,-9,-9,-9,"0,006151",10,NONE,NONE,,,0,
"rand-20-150-150-15-1,dssp",1,-14,-14,-14,"0,027879",10,NONE,NONE,,,0,
"rand-20-150-150-15-2,dssp",1,-14,-14,-14,"0,007531",10,NONE,NONE,,,0,
"rand-20-150-150-20-1,dssp",1,-19,-19,-19,"0,050464",10,NONE,NONE,,,0,
"rand-20-150-150-20-2,dssp",1,-19,-19,-19,"0,017686",10,NONE,NONE,,,0,
"rand-20-150-150-25-1,dssp",1,-24,-24,-24,"0,056124",10,NONE,NONE,,,0,
"rand-20-150-150-25-2,dssp",1,-24,-24,-24,"0,018437",10,NONE,NONE,,,0,
"rand-20-150-150-5-1,dssp",1,-4,-4,-4,"0,007021",10,NONE,NONE,,,0,
"rand-20-150-150-5-2,dssp",1,-4,-4,-4,"0,004726",10,NONE,NONE,,,0,
"rand-20-200-200-10-1,dssp",1,-9,-9,-9,"0,093133",10,NONE,NONE,,,0,
"rand-20-200-200-10-2,dssp",1,-9,-9,-9,"0,010974",10,NONE,NONE,,,0,
"rand-20-200-200-15-1,dssp",1,-14,-14,-14,"0,342734",10,NONE,NONE,,,0,
"rand-20-200-200-15-2,dssp",1,-14,-14,-14,"0,018987",10,NONE,NONE,,,0,
"rand-20-200-200-20-1,dssp",3,-19,-19,-19,"0,515182",10,NONE,NONE,,,0,
"rand-20-200-200-20-2,dssp",1,-19,-19,-19,"0,128446",10,NONE,NONE,,,0,
"rand-20-200-200-25-1,dssp",10,-24,-24,-24,"0,698823",10,NONE,NONE,,,0,
"rand-20-200-200-25-2,dssp",1,-24,-24,-24,"0,4845",10,NONE,NONE,,,0,
"rand-20-200-200-5-1,dssp",1,-4,-4,-4,"0,010153",10,NONE,NONE,,,0,
"rand-20-200-200-5-2,dssp",1,-4,-4,-4,"0,005293",10,NONE,NONE,,,0,
"rand-20-250-250-10-1,dssp",1,-9,-9,-9,"0,152198",10,NONE,NONE,,,0,
"rand-20-250-250-10-2,dssp",1,-9,-9,-9,"0,021508",10,NONE,NONE,,,0,
"rand-20-250-250-15-1,dssp",33,-14,-14,-14,"2,139185",10,NONE,NONE,,,0,
"rand-20-250-250-15-2,dssp",1,-14,-14,-14,"0,128978",10,NONE,NONE,,,0,
"rand-20-250-250-20-1,dssp",18,-19,-19,-19,"1,577824",10,NONE,NONE,,,0,
"rand-20-250-250-20-2,dssp",26,-19,-19,-19,"2,985678",10,NONE,NONE,,,0,
"rand-20-250-250-25-1,dssp",131,-24,-24,-24,"2,532767",10,NONE,NONE,,,0,
"rand-20-250-250-25-2,dssp",23,-24,-24,-24,"2,517834",10,NONE,NONE,,,0,
"rand-20-250-250-5-1,dssp",1,-4,-4,-4,"0,012278",10,NONE,NONE,,,0,
"rand-20-250-250-5-2,dssp",1,-4,-4,-4,"0,005975",10,NONE,NONE,,,0,
"rand-20-50-50-10-1,dssp",1,-10,-10,-10,"0,003574",10,NONE,NONE,,,0,
"rand-20-50-50-10-2,dssp",1,-10,-10,-10,"0,003542",10,NONE,NONE,,,0,
"rand-20-50-50-15-1,dssp",1,-14,-14,-14,"0,004628",10,NONE,NONE,,,0,
"rand-20-50-50-15-2,dssp",1,-15,-15,-15,"0,004317",10,NONE,NONE,,,0,
"rand-20-50-50-20-1,dssp",1,-20,-20,-20,"0,004766",10,NONE,NONE,,,0,
"rand-20-50-50-20-2,dssp",1,-20,-20,-20,"0,004733",10,NONE,NONE,,,0,
"rand-20-50-50-25-1,dssp",1,-25,-25,-25,"0,005389",10,NONE,NONE,,,0,
"rand-20-50-50-25-2,dssp",1,-25,-25,-25,"0,005368",10,NONE,NONE,,,0,
"rand-20-50-50-5-1,dssp",1,-5,-5,-5,"0,003051",10,NONE,NONE,,,0,
"rand-20-50-50-5-2,dssp",1,-5,-5,-5,"0,002975",10,NONE,NONE,,,0,
"rand-4-100-100-10-1,dssp",4,-7,-7,-7,"0,032879",10,NONE,NONE,,,0,
"rand-4-100-100-10-2,dssp",22,-7,-7,-8,"0,042663",10,NONE,NONE,,,1,
"rand-4-100-100-15-1,dssp",10,-11,-11,-11,"0,057083",10,NONE,NONE,,,0,
"rand-4-100-100-15-2,dssp",4,-12,-12,"-12,846466","0,037342",10,NONE,NONE,,,"0,846466",
"rand-4-100-100-20-1,dssp",10,-15,-15,-16,"0,156087",10,NONE,NONE,,,1,
"rand-4-100-100-20-2,dssp",13,-16,-16,"-17,221551","0,124572",10,NONE,NONE,,,"1,221551",
"rand-4-100-100-25-1,dssp",230,-19,-19,"-20,181843","0,334356",10,NONE,NONE,,,"1,181843",
"rand-4-100-100-25-2,dssp",4,-21,-21,"-21,878554","0,076661",10,NONE,NONE,,,"0,878554",
"rand-4-100-100-5-1,dssp",13,-2,-2,-3,"0,020297",10,NONE,NONE,,,1,
"rand-4-100-100-5-2,dssp",5,-3,-3,-4,"0,012371",10,NONE,NONE,,,1,
"rand-4-150-150-10-1,dssp",34,-6,-6,-7,"0,097377",10,NONE,NONE,,,1,
"rand-4-150-150-10-2,dssp",17,-7,-7,-8,"0,063762",10,NONE,NONE,,,1,
"rand-4-150-150-15-1,dssp",260,-10,-10,"-11,691933","0,250069",10,NONE,NONE,,,"1,691933",
"rand-4-150-150-15-2,dssp",41,-12,-12,"-12,851243","0,108913",10,NONE,NONE,,,"0,851243",
"rand-4-150-150-20-1,dssp",2114,-15,-15,"-15,861824","1,155273",10,NONE,NONE,,,"0,861824",
"rand-4-150-150-20-2,dssp",73,-16,-16,"-17,05876","0,197947",10,NONE,NONE,,,"1,05876",
"rand-4-150-150-25-1,dssp",15087,-18,-18,"-19,801118","11,242823",10,NONE,NONE,,,"1,801118",
"rand-4-150-150-25-2,dssp",280,-21,-21,-21,"0,42253",10,NONE,NONE,,,0,
"rand-4-150-150-5-1,dssp",8,-2,-2,-3,"0,025762",10,NONE,NONE,,,1,
"rand-4-150-150-5-2,dssp",5,-3,-3,-4,"0,011279",10,NONE,NONE,,,1,
"rand-4-200-200-10-1,dssp",60,-6,-6,-7,"0,16716",10,NONE,NONE,,,1,
"rand-4-200-200-10-2,dssp",8,-7,-7,-8,"0,072018",10,NONE,NONE,,,1,
"rand-4-200-200-15-1,dssp",38,-10,-10,-11,"0,310881",10,NONE,NONE,,,1,
"rand-4-200-200-15-2,dssp",516,-11,-11,"-12,760578","0,29145",10,NONE,NONE,,,"1,760578",
"rand-4-200-200-20-1,dssp",167,-14,-14,-15,"0,708728",10,NONE,NONE,,,1,
"rand-4-200-200-20-2,dssp",56,-16,-16,"-16,978392","0,236971",10,NONE,NONE,,,"0,978392",
"rand-4-200-200-25-1,dssp",1393,-18,-18,-19,"1,893575",10,NONE,NONE,,,1,
"rand-4-200-200-25-2,dssp",1342,-20,-20,-21,"1,342009",10,NONE,NONE,,,1,
"rand-4-200-200-5-1,dssp",17,-2,-2,-3,"0,032905",10,NONE,NONE,,,1,
"rand-4-200-200-5-2,dssp",5,-3,-3,-4,"0,014701",10,NONE,NONE,,,1,
"rand-4-250-250-10-1,dssp",32,-6,-6,-7,"0,18335",10,NONE,NONE,,,1,
"rand-4-250-250-10-2,dssp",9,-7,-7,-8,"0,080119",10,NONE,NONE,,,1,
"rand-4-250-250-15-1,dssp",268,-10,-10,-11,"0,432464",10,NONE,NONE,,,1,
"rand-4-250-250-15-2,dssp",160,-11,-11,"-12,711257","0,256613",10,NONE,NONE,,,"1,711257",
"rand-4-250-250-20-1,dssp",1314,-14,-14,-15,"1,439598",10,NONE,NONE,,,1,
"rand-4-250-250-20-2,dssp",2405,-16,-16,"-16,967616","1,46346",10,NONE,NONE,,,"0,967616",
"rand-4-250-250-25-1,dssp",2174,-18,-18,-19,"2,551915",10,NONE,NONE,,,1,
"rand-4-250-250-25-2,dssp",468,-20,-20,-21,"0,91164",10,NONE,NONE,,,1,
"rand-4-250-250-5-1,dssp",8,-2,-2,-3,"0,037819",10,NONE,NONE,,,1,
"rand-4-250-250-5-2,dssp",14,-3,-3,-4,"0,026401",10,NONE,NONE,,,1,
"rand-4-50-50-10-1,dssp",2,-7,-7,-7,"0,010784",10,NONE,NONE,,,0,
"rand-4-50-50-10-2,dssp",5,-8,-8,-8,"0,017937",10,NONE,NONE,,,0,
"rand-4-50-50-15-1,dssp",2,-12,-12,-12,"0,016493",10,NONE,NONE,,,0,
"rand-4-50-50-15-2,dssp",6,-12,-12,"-13,116286","0,037815",10,NONE,NONE,,,"1,116286",
"rand-4-50-50-20-1,dssp",41,-15,-15,"-16,259517","0,138393",10,NONE,NONE,,,"1,259517",
"rand-4-50-50-20-2,dssp",1,-17,-17,-17,"0,018135",10,NONE,NONE,,,0,
"rand-4-50-50-25-1,dssp",53,-20,-20,-20,"0,148656",10,NONE,NONE,,,0,
"rand-4-50-50-25-2,dssp",82,-21,-21,-22,"0,137602",10,NONE,NONE,,,1,
"rand-4-50-50-5-1,dssp",1,-3,-3,-3,"0,006004",10,NONE,NONE,,,0,
"rand-4-50-50-5-2,dssp",6,-3,-3,-4,"0,009305",10,NONE,NONE,,,1,
,,,,,,,,,,,"0,44186938",
,,,,,,,,,,,"0,5532409791",
